,Zomato URL,Name of Restaurant,Address,Cuisine,Price for 2,Dining Rating,Dining Rating Count
84,https://www.zomato.com/chennai/hotel-pandian-mogappair,HOTEL PANDIAN," 3,PC-7, Kambar Salai, West Mogappair, Chennai","['North Indian', ' South Indian', ' Chinese']",500.0,4.0,515
85,https://www.zomato.com/chennai/al-raabias-biriyani-perambur,AL RAABIAS BIRIYANI," 101/102, Madhavaram High Road, Perambur, Chennai","['North Indian', ' Chinese', ' Biryani']",500.0,3.9,447
86,https://www.zomato.com/chennai/soy-soi-kotturpuram,SOY SOI," 2/10, Gandhi Mandapam Road, Kotturpuram, Chennai","['Burmese', ' Thai', ' Vietnamese', ' Indonesian', ' Singaporean', ' Japanese', ' Malaysian']",1400.0,4.7,920
87,https://www.zomato.com/chennai/coal-barbecues-velachery,COAL BARBECUES," Shop 17 & 18, Rajalakshmi Nagar, 7th Cross Street, 100 Feet Bypass Road, Velachery, Chennai","['North Indian', ' Chinese']",1400.0,4.4,9410
88,https://www.zomato.com/hotpotchina,HOT POT CHINA," 1/1666, OMR, MGR Salai (Opposite to Royal Enfield showroom) Perungudi, Chennai","['Chinese', ' Thai', ' Indonesian', ' Malaysian', ' Vietnamese', ' Singaporean', ' Asian', ' Momos']",1000.0,4.2,763
89,https://www.zomato.com/chennai/thaqwa-biryani-ambattur,THAQWA BIRYANI," 127, Red Hills Main Road, Near Sethubaskara High School, Ambattur, Chennai","['North Indian', ' Chinese']",450.0,4.0,741
90,https://www.zomato.com/chennai/fruit-shop-on-greams-road-1-thousand-lights,FRUIT SHOP ON GREAMS ROAD," 11, Greams Road, Thousand Lights, Chennai","['Beverages', ' Fast Food', ' Healthy Food', ' Juices']",350.0,4.5,609
91,https://www.zomato.com/chennai/kappa-chakka-kandhari-1-nungambakkam,KAPPA CHAKKA KANDHARI," 10, Haddows Road, Opposite Shastri Bhavan, Nungambakkam, Chennai","['Kerala', ' South Indian']",1200.0,4.7,979
92,https://www.zomato.com/chennai/boats-based-on-a-true-story-besant-nagar,BOATS - BASED ON A TRUE STORY," 17, 5th Avenue, Besant Nagar, Chennai","['Continental', ' Chinese', ' North Indian']",1800.0,4.2,954
93,https://www.zomato.com/chennai/amelies-1-alwarpet,AMELIE'S," 6,Seshadri Road, Venus Colony, Alwarpet, Chennai","['Cafe', ' Continental', ' Italian']",900.0,4.3,1464
