Zomato URL,Name of Restaurant,Address,Cuisine,Price for 2,Dining Rating,Dining Rating Count
https://www.zomato.com/chennai/madro-cafe-anna-nagar-east,MADRO CAFE,"F19, Ground Floor, 2nd Main Road, Opposite Anna Nagar East Metro Railway Station, Anna Nagar East, Chennai","['Mexican', ' Italian', ' Continental']",400,4.0,93
https://www.zomato.com/chennai/oxygen-potheri,OXYGEN,"45, Samundeshwari Nagar, Tailavaram, Potheri, Chennai","['North Indian', ' Chinese', ' Biryani', ' Rolls']",500,4.0,780
https://www.zomato.com/chennai/sree-vishnu-bhavan-kolathur,SREE VISHNU BHAVAN,"10/21, Laksmhi Amman Koil Street, Near Moogambigai & Ganga Cinemas, Kolathur, Chennai","['South Indian', ' North Indian', ' Chinese']",350,3.6,31
https://www.zomato.com/chennai/suguna-hyderabad-biriyani-anna-nagar-east,SUGUNA HYDERABAD BIRIYANI,"85, MTH Road, Villivakkam, Anna Nagar East, Chennai","['Biryani', ' Chettinad', ' North Indian', ' Chinese']",400,3.3,30
https://www.zomato.com/chennai/the-new-cafe-mahabalipuram,THE NEW CAFE,"Othavadai Cross Street, Mahabalipuram, Chennai","['Continental', ' North Indian', ' Seafood', ' Italian']",700,3.4,8
https://www.zomato.com/chennai/thinpandam-the-sandwich-shop-west-mambalam,THINPANDAM THE SANDWICH SHOP,"25/12, South Kavarai Street, Mettupalayam, Kodambakkam Road, West Mambalam, Chennai","['Fast Food', ' Sandwich', ' Beverages']",300,3.5,17
https://www.zomato.com/chennai/7food-cafe-valasaravakkam,7FOOD CAFE,"104, Krinamacharya Nagar, 2nd Main Road, Aalapakkam, Valasaravakkam, Chennai",['Fast Food'],400,3.4,6
https://www.zomato.com/chennai/afc-vepery,AFC,"35/17, Ritherdon Road, Vepery, Chennai",['Fast Food'],350,3.8,95
https://www.zomato.com/chennai/ajmal-biriyani-center-mylapore,AJMAL BIRIYANI CENTER,"58, Kutchery Road, Mylapore, Chennai","['Biryani', ' North Indian']",350,3.7,80
https://www.zomato.com/chennai/akshayam-veg-restaurant-ambattur,AKSHAYAM VEG RESTAURANT,"150, Ground Floor, Velmurugan Complex, Redhills Road, Bharathi Nagar, Pudur, Ambattur, Chennai","['North Indian', ' Chinese', ' South Indian']",250,3.0,35
https://www.zomato.com/chennai/al-zaman-restauant-mogappair,AL ZAMAN RESTAUANT,"1/42, Main Bazaar Road, Near MMM Hospital, Mogappair, Chennai","['North Indian', ' Chinese', ' Chettinad']",700,3.9,132
https://www.zomato.com/chennai/ambur-star-biryani-vadapalani,AMBUR STAR BIRYANI,"116/1, Arcot Road, Near Saravana Bhavan, Vadapalani, Chennai","['Biryani', ' North Indian', ' Chinese', ' Chettinad', ' Arabian']",700,3.9,273
https://www.zomato.com/chennai/amul-scooping-parlour-nungambakkam,AMUL SCOOPING PARLOUR,"19, Noor Veerasamy Street, Nungambakkam, Chennai","['Ice Cream', ' Desserts']",100,3.6,8
https://www.zomato.com/chennai/arafa-hot-foods-anna-nagar-west,ARAFA HOT FOODS,"13, Shopping Complex, Sidco Nagar, Villivakkam, Anna Nagar West, Chennai","['Biryani', ' South Indian', ' Chinese']",250,3.6,10
https://www.zomato.com/chennai/arya-bhavan-kolathur,ARYA BHAVAN,"12, 200 Feet Road, Near DRJ Hospital, Kolathur, Chennai","['South Indian', ' North Indian', ' Chinese', ' Beverages']",450,3.3,104
https://www.zomato.com/chennai/bite-me-mogappair,BITE ME,"17/25C, Thiruverkadu Main Road, Ayapakkam, Mogappair, Chennai","['Beverages', ' Fast Food']",250,3.9,6
https://www.zomato.com/chennai/bliss-cafe-potheri,BLISS CAFE,"52, Kakkan Street, Potheri, Chennai","['Italian', ' Cafe']",600,3.9,261
https://www.zomato.com/chennai/chennai-frankie-gst-road,CHENNAI FRANKIE,"17, Kamarajar Nedunchalai, New Perungalathur, GST Road, Chennai","['Rolls', ' Beverages']",200,3.6,9
https://www.zomato.com/chennai/chocomans-chromepet,CHOCOMANS,"124, Grand Southern Trunk Road, Chromepet, Chennai","['Bakery', ' Fast Food', ' Desserts', ' Beverages']",500,4.0,198
https://www.zomato.com/chennai/da-kadai-royapettah,DA KADAI,"Whites Road, Opposite Ea Mall, Royapettah, Chennai",['South Indian'],200,3.5,12
https://www.zomato.com/chennai/eat-in-home-perungudi,EAT IN HOME,"E 9, MGR Main Road, Kandanchavadi, Perungudi, Chennai","['South Indian', ' Chinese', ' North Indian', ' Beverages']",300,2.0,4
https://www.zomato.com/chennai/favorite-burger-medavakkam,FAVORITE BURGER,"256, Elumalai Salai, Nunmangalam, Kovilambakkam, Medavakkam, Chennai",['Sandwich'],150,3.7,7
https://www.zomato.com/chennai/highway-burger-pallavaram,HIGHWAY BURGER,"123, P. V. Vaithiyalingam Road, Mallika Nagar, Thiruvalluvar Nagar, Pallavaram, Chennai","['Burger', ' Sandwich', ' Fast Food']",300,3.3,5
https://www.zomato.com/chennai/hotel-ariyas-medavakkam,HOTEL ARIYAS,"1/131, 2nd Street, Periya Kovilambakkam, Medavakkam, Chennai","['South Indian', ' North Indian']",500,3.2,13
https://www.zomato.com/chennai/hunger-square-anna-nagar-east,HUNGER SQUARE,"Shop 2, 164/4, Mangalam Colony, 4th Avenue, Anna Nagar East, Chennai","['Italian', ' Fast Food']",500,3.8,142
https://www.zomato.com/chennai/kanna-mess-injambakkam,KANNA MESS,"Shop 164, ECR Road, Injambakkam, Chennai",['Chinese'],300,2.6,5
https://www.zomato.com/chennai/kbs-coffee-house-medavakkam,KBS COFFEE HOUSE,"Shop 1 A 7/9, Velachery Medavakkam Main Road, Medavakkam, Chennai","['Fast Food', ' Street Food', ' South Indian', ' Beverages']",250,2.9,6
https://www.zomato.com/chennai/kim-ling-anna-nagar-east,KIM LING,"AC 2, 4909, Basement, Teja Towers, 2nd Avenue, Opposite Ayyappan Temple, Anna Nagar East, Chennai","['Chinese', ' Asian']",900,4.3,533
https://www.zomato.com/chennai/kooraikadai-biryani-centre-sholinganallur,KOORAIKADAI BIRYANI CENTRE,"OMR-ECR Link Road, Opposite the Toll Gate, Sholinganallur, Chennai",['Biryani'],250,3.9,197
https://www.zomato.com/chennai/le-parrys-george-town,LE PARRYS,"17, St Xavier Street, Amman Koil North, George Town, Chennai","['South Indian', ' Chettinad']",200,3.7,55
https://www.zomato.com/chennai/lobby-lounge-the-leela-palace-mrc-nagar,LOBBY LOUNGE - THE LEELA PALACE,"The Leela Palace, Adyar Seaface, MRC Nagar, Chennai",['Continental'],2500,4.1,87
https://www.zomato.com/chennai/madurai-arulanandam-hotel-t-nagar,MADURAI ARULANANDAM HOTEL,"94/1, Usman Road, Opposite Sarvana Bhavan, T. Nagar, Chennai","['Chinese', ' Biryani', ' South Indian']",450,3.6,38
https://www.zomato.com/chennai/moms-d-coffee-shop-k-k-nagar,MOM'S D COFFEE SHOP,"44/1, Erikarai Street, Nesapakkam, K.K. Nagar, Chennai",['Tea'],200,2.5,5
https://www.zomato.com/chennai/mughal-darbar-virugambakkam,MUGHAL DARBAR,"Thangai Street, Virugambakkam, Chennai","['North Indian', ' Mughlai', ' Biryani']",500,3.5,16
